"Posición","Cantón","IDH"
"1","Santa    Ana",0.944
"2","Escazú",0.93
"3","Belén",0.92
"4","San Isidro",0.891
"5","Heredia",0.86
"6","Atenas",0.856
"7","Santo Domingo",0.851
"8","Moravia",0.85
"9","La Unión",0.845
"10","San Mateo",0.835
"11","San Rafael",0.829
"12","San Pablo",0.827
"13","Mora",0.826
"14","Oreamuno",0.826
"15","El Guarco",0.825
"16","Barva",0.821
"17","Cartago",0.819
"18","Hojancha",0.808
"19","Curridabat",0.807
"20","Turrubares",0.805
"21","Osa",0.803
"22","Montes de Oca",0.802
"23","Flores",0.801
"24","Coronado",0.798
"25","Santa Bárbara",0.795
"26","Tilarán",0.793
"27","Paraíso",0.791
"28","Nicoya",0.79
"29","Orotina",0.788
"30","Alvarado",0.788
"31","Santa Cruz",0.785
"32","San Ramón",0.777
"33","Goicoechea",0.774
"34","Alajuela",0.773
"35","Esparza",0.771
"36","Palmares",0.77
"37","Abangares",0.77
"38","San José",0.769
"39","Liberia",0.768
"40","Puriscal",0.767
"41","Carrillo",0.765
"42","Aguirre",0.764
"43","Naranjo",0.762
"44","Turrialba",0.761
"45","Parrita",0.756
"46","Grecia",0.756
"47","Montes de Oro",0.756
"48","Golfito",0.755
"49","Desamparados",0.753
"50","Siquirres",0.753
"51","San Carlos",0.749
"52","Aserrí",0.749
"53","Garabito",0.747
"54","Zarcero",0.745
"55","Acosta",0.744
"56","Poás",0.742
"57","Bagaces",0.74
"58","Cañas",0.739
"59","Puntarenas",0.738
"60","Pérez Zeledón",0.736
"61","Nandayure",0.733
"62","Corredores",0.727
"63","Limón",0.726
"64","Pococí",0.725
"65","Jiménez",0.717
"66","Valverde Vega",0.717
"67","Tibás",0.712
"68","Dota",0.701
"69","Tarrazú",0.693
"70","Buenos Aires",0.693
"71","León Cortes",0.69
"72","Sarapiquí",0.679
"73","Alajuelita",0.676
"74","Guatuso",0.67
"75","Guácimo",0.67
"76","Coto Brus",0.669
"77","La Cruz",0.651
"78","Upala",0.651
"79","Matina",0.645
"80","Talamanca",0.634
"81","Los Chiles",0.617
